Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
62,0.9618,3.1e-05,1.0512820512820513,62,N/A,N/A
63,0.814,3.15e-05,1.0683760683760684,63,N/A,N/A
64,0.5257,3.2000000000000005e-05,1.0854700854700854,64,N/A,N/A
65,1.091,3.2500000000000004e-05,1.1025641025641026,65,N/A,N/A
66,0.7363,3.3e-05,1.1196581196581197,66,N/A,N/A
67,0.4982,3.35e-05,1.1367521367521367,67,N/A,N/A
68,0.8237,3.4000000000000007e-05,1.1538461538461537,68,N/A,N/A
69,0.7065,3.45e-05,1.170940170940171,69,N/A,N/A
70,0.5189,3.5e-05,1.188034188034188,70,N/A,N/A
71,0.6447,3.55e-05,1.205128205128205,71,N/A,N/A
72,0.4202,3.6e-05,1.2222222222222223,72,N/A,N/A
73,0.5952,3.65e-05,1.2393162393162394,73,N/A,N/A
74,0.5175,3.7e-05,1.2564102564102564,74,N/A,N/A
75,0.8031,3.7500000000000003e-05,1.2735042735042734,75,N/A,N/A
76,0.3613,3.8e-05,1.2905982905982907,76,N/A,N/A
77,0.3255,3.85e-05,1.3076923076923077,77,N/A,N/A
78,0.8038,3.9000000000000006e-05,1.3247863247863247,78,N/A,N/A
79,0.2475,3.9500000000000005e-05,1.341880341880342,79,N/A,N/A
80,0.2282,4e-05,1.358974358974359,80,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9552238805970149,0.9396034482758621
81,0.3757,4.05e-05,1.376068376068376,81,N/A,N/A
82,0.1332,4.1e-05,1.393162393162393,82,N/A,N/A
83,0.1695,4.15e-05,1.4102564102564101,83,N/A,N/A
84,0.1208,4.2e-05,1.4273504273504274,84,N/A,N/A
85,0.088,4.25e-05,1.4444444444444444,85,N/A,N/A
86,0.2951,4.3e-05,1.4615384615384617,86,N/A,N/A
87,0.0837,4.35e-05,1.4786324786324787,87,N/A,N/A
88,0.238,4.4000000000000006e-05,1.4957264957264957,88,N/A,N/A
89,0.1291,4.4500000000000004e-05,1.5128205128205128,89,N/A,N/A
90,0.087,4.5e-05,1.5299145299145298,90,N/A,N/A
91,0.0496,4.55e-05,1.547008547008547,91,N/A,N/A
92,0.0864,4.600000000000001e-05,1.564102564102564,92,N/A,N/A
93,0.4421,4.6500000000000005e-05,1.5811965811965814,93,N/A,N/A
94,0.3606,4.7e-05,1.5982905982905984,94,N/A,N/A
95,0.5142,4.75e-05,1.6153846153846154,95,N/A,N/A
96,0.23,4.8e-05,1.6324786324786325,96,N/A,N/A
97,0.0331,4.85e-05,1.6495726495726495,97,N/A,N/A
98,0.0419,4.9e-05,1.6666666666666665,98,N/A,N/A
99,0.063,4.9500000000000004e-05,1.6837606837606838,99,N/A,N/A
100,0.0125,5e-05,1.7008547008547008,100,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9402985074626866,0.9652173913043478
101,0.3074,5.05e-05,1.717948717948718,101,N/A,N/A
102,0.4495,5.1000000000000006e-05,1.735042735042735,102,N/A,N/A
