Step,Loss,Learning Rate,Epoch,Global Step,eval_accuracy
1,7.733,5.000000000000001e-07,0.017094017094017096,1,N/A
2,6.6566,1.0000000000000002e-06,0.03418803418803419,2,N/A
3,6.2215,1.5e-06,0.05128205128205128,3,N/A
4,6.1,2.0000000000000003e-06,0.06837606837606838,4,N/A
5,6.6221,2.5e-06,0.08547008547008547,5,N/A
6,6.0319,3e-06,0.10256410256410256,6,N/A
7,7.5271,3.5000000000000004e-06,0.11965811965811966,7,N/A
8,6.705,4.000000000000001e-06,0.13675213675213677,8,N/A
9,6.5951,4.5e-06,0.15384615384615385,9,N/A
10,6.6315,5e-06,0.17094017094017094,10,N/A
11,7.629,5.500000000000001e-06,0.18803418803418803,11,N/A
12,6.5135,6e-06,0.20512820512820512,12,N/A
13,5.8676,6.5000000000000004e-06,0.2222222222222222,13,N/A
14,5.7942,7.000000000000001e-06,0.23931623931623933,14,N/A
15,5.8863,7.5e-06,0.2564102564102564,15,N/A
16,5.6749,8.000000000000001e-06,0.27350427350427353,16,N/A
17,5.4039,8.500000000000002e-06,0.2905982905982906,17,N/A
18,5.6784,9e-06,0.3076923076923077,18,N/A
19,5.1301,9.5e-06,0.3247863247863248,19,N/A
20,5.4434,1e-05,0.3418803418803419,20,N/A
N/A,N/A,N/A,N/A,N/A,0.4925373134328358
21,5.0816,1.05e-05,0.358974358974359,21,N/A
22,5.2122,1.1000000000000001e-05,0.37606837606837606,22,N/A
23,5.1151,1.1500000000000002e-05,0.39316239316239315,23,N/A
24,5.0311,1.2e-05,0.41025641025641024,24,N/A
25,5.1945,1.25e-05,0.42735042735042733,25,N/A
26,4.6768,1.3000000000000001e-05,0.4444444444444444,26,N/A
27,4.3921,1.3500000000000001e-05,0.46153846153846156,27,N/A
28,4.5291,1.4000000000000001e-05,0.47863247863247865,28,N/A
29,3.5847,1.45e-05,0.49572649572649574,29,N/A
30,3.8246,1.5e-05,0.5128205128205128,30,N/A
31,3.8011,1.55e-05,0.5299145299145299,31,N/A
32,3.1601,1.6000000000000003e-05,0.5470085470085471,32,N/A
33,3.7196,1.65e-05,0.5641025641025641,33,N/A
34,2.9085,1.7000000000000003e-05,0.5811965811965812,34,N/A
35,3.1809,1.75e-05,0.5982905982905983,35,N/A
36,1.9484,1.8e-05,0.6153846153846154,36,N/A
37,2.312,1.85e-05,0.6324786324786325,37,N/A
38,2.3144,1.9e-05,0.6495726495726496,38,N/A
39,2.1029,1.9500000000000003e-05,0.6666666666666666,39,N/A
40,1.7023,2e-05,0.6837606837606838,40,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716
41,2.3039,2.05e-05,0.7008547008547008,41,N/A
42,1.5073,2.1e-05,0.717948717948718,42,N/A
43,1.1385,2.15e-05,0.7350427350427351,43,N/A
44,1.1651,2.2000000000000003e-05,0.7521367521367521,44,N/A
45,1.5964,2.25e-05,0.7692307692307693,45,N/A
46,0.8914,2.3000000000000003e-05,0.7863247863247863,46,N/A
47,0.6033,2.35e-05,0.8034188034188035,47,N/A
48,1.4452,2.4e-05,0.8205128205128205,48,N/A
49,0.9109,2.45e-05,0.8376068376068376,49,N/A
50,0.8639,2.5e-05,0.8547008547008547,50,N/A
51,0.8434,2.5500000000000003e-05,0.8717948717948718,51,N/A
52,0.5819,2.6000000000000002e-05,0.8888888888888888,52,N/A
53,0.6921,2.6500000000000004e-05,0.905982905982906,53,N/A
54,0.5071,2.7000000000000002e-05,0.9230769230769231,54,N/A
55,1.5326,2.7500000000000004e-05,0.9401709401709402,55,N/A
56,2.2782,2.8000000000000003e-05,0.9572649572649573,56,N/A
57,0.3712,2.8499999999999998e-05,0.9743589743589743,57,N/A
58,1.2719,2.9e-05,0.9914529914529915,58,N/A
59,0.1866,2.95e-05,1.0,59,N/A
60,0.2489,3e-05,1.017094017094017,60,N/A
N/A,N/A,N/A,N/A,N/A,0.9776119402985075
61,0.3636,3.05e-05,1.0341880341880343,61,N/A
62,1.1102,3.1e-05,1.0512820512820513,62,N/A
63,0.1583,3.15e-05,1.0683760683760684,63,N/A
64,0.7063,3.2000000000000005e-05,1.0854700854700854,64,N/A
