Step,Loss,Learning Rate,Epoch,Global Step,eval_accuracy
1,1.7567,5.000000000000001e-07,1.0,1,N/A
N/A,N/A,N/A,N/A,N/A,0.5
2,1.767,1.0000000000000002e-06,2.0,2,N/A
N/A,N/A,N/A,N/A,N/A,0.5
3,1.6265,1.5e-06,3.0,3,N/A
N/A,N/A,N/A,N/A,N/A,0.5
4,1.6539,2.0000000000000003e-06,4.0,4,N/A
N/A,N/A,N/A,N/A,N/A,0.5
5,1.8097,2.5e-06,5.0,5,N/A
N/A,N/A,N/A,N/A,N/A,0.5
6,1.6978,3e-06,6.0,6,N/A
N/A,N/A,N/A,N/A,N/A,0.5
7,1.7408,3.5000000000000004e-06,7.0,7,N/A
N/A,N/A,N/A,N/A,N/A,0.5
8,1.6296,4.000000000000001e-06,8.0,8,N/A
N/A,N/A,N/A,N/A,N/A,0.5
9,1.6517,4.5e-06,9.0,9,N/A
N/A,N/A,N/A,N/A,N/A,0.5
10,1.642,5e-06,10.0,10,N/A
N/A,N/A,N/A,N/A,N/A,0.5
N/A,N/A,N/A,N/A,N/A,0.5
