Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
35,1.5839,1.75e-05,0.5982905982905983,35,N/A,N/A
36,1.48,1.8e-05,0.6153846153846154,36,N/A,N/A
37,1.0665,1.85e-05,0.6324786324786325,37,N/A,N/A
38,1.1353,1.9e-05,0.6495726495726496,38,N/A,N/A
39,1.2406,1.9500000000000003e-05,0.6666666666666666,39,N/A,N/A
40,1.1733,2e-05,0.6837606837606838,40,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.5522388059701493,0.4932674927411769
41,1.5324,2.05e-05,0.7008547008547008,41,N/A,N/A
42,1.0096,2.1e-05,0.717948717948718,42,N/A,N/A
43,1.1112,2.15e-05,0.7350427350427351,43,N/A,N/A
44,1.0962,2.2000000000000003e-05,0.7521367521367521,44,N/A,N/A
45,1.3401,2.25e-05,0.7692307692307693,45,N/A,N/A
46,1.253,2.3000000000000003e-05,0.7863247863247863,46,N/A,N/A
47,0.9416,2.35e-05,0.8034188034188035,47,N/A,N/A
48,1.1167,2.4e-05,0.8205128205128205,48,N/A,N/A
49,1.1661,2.45e-05,0.8376068376068376,49,N/A,N/A
50,1.5387,2.5e-05,0.8547008547008547,50,N/A,N/A
51,1.1001,2.5500000000000003e-05,0.8717948717948718,51,N/A,N/A
52,1.032,2.6000000000000002e-05,0.8888888888888888,52,N/A,N/A
53,0.8516,2.6500000000000004e-05,0.905982905982906,53,N/A,N/A
54,0.9232,2.7000000000000002e-05,0.9230769230769231,54,N/A,N/A
55,1.0521,2.7500000000000004e-05,0.9401709401709402,55,N/A,N/A
56,0.7882,2.8000000000000003e-05,0.9572649572649573,56,N/A,N/A
57,0.7673,2.8499999999999998e-05,0.9743589743589743,57,N/A,N/A
58,1.1669,2.9e-05,0.9914529914529915,58,N/A,N/A
59,0.3379,2.95e-05,1.0,59,N/A,N/A
60,0.6187,3e-05,1.017094017094017,60,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.8134328358208955,0.8486056953798888
61,0.8206,3.05e-05,1.0341880341880343,61,N/A,N/A
62,0.6608,3.1e-05,1.0512820512820513,62,N/A,N/A
63,0.4906,3.15e-05,1.0683760683760684,63,N/A,N/A
64,1.1766,3.2000000000000005e-05,1.0854700854700854,64,N/A,N/A
65,0.6568,3.2500000000000004e-05,1.1025641025641026,65,N/A,N/A
66,0.5966,3.3e-05,1.1196581196581197,66,N/A,N/A
67,0.4634,3.35e-05,1.1367521367521367,67,N/A,N/A
68,0.7069,3.4000000000000007e-05,1.1538461538461537,68,N/A,N/A
69,0.688,3.45e-05,1.170940170940171,69,N/A,N/A
70,0.6555,3.5e-05,1.188034188034188,70,N/A,N/A
71,0.8312,3.55e-05,1.205128205128205,71,N/A,N/A
72,0.7459,3.6e-05,1.2222222222222223,72,N/A,N/A
73,0.5086,3.65e-05,1.2393162393162394,73,N/A,N/A
74,0.3904,3.7e-05,1.2564102564102564,74,N/A,N/A
