Step,Loss,Learning Rate,Epoch,Global Step,eval_accuracy
1,5.3174,5.000000000000001e-07,0.004282655246252677,1,N/A
2,2.7103,1.0000000000000002e-06,0.008565310492505354,2,N/A
3,4.6044,1.5e-06,0.01284796573875803,3,N/A
4,4.5744,2.0000000000000003e-06,0.017130620985010708,4,N/A
5,5.7574,2.5e-06,0.021413276231263382,5,N/A
6,5.0729,3e-06,0.02569593147751606,6,N/A
