Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
37,1.2158,1.85e-05,0.6324786324786325,37,N/A,N/A
38,1.4931,1.9e-05,0.6495726495726496,38,N/A,N/A
39,1.5312,1.9500000000000003e-05,0.6666666666666666,39,N/A,N/A
40,1.63,2e-05,0.6837606837606838,40,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.3805970149253731,0.453021978021978
41,1.3179,2.05e-05,0.7008547008547008,41,N/A,N/A
42,1.3298,2.1e-05,0.717948717948718,42,N/A,N/A
43,1.385,2.15e-05,0.7350427350427351,43,N/A,N/A
44,1.3122,2.2000000000000003e-05,0.7521367521367521,44,N/A,N/A
45,1.4182,2.25e-05,0.7692307692307693,45,N/A,N/A
46,1.1151,2.3000000000000003e-05,0.7863247863247863,46,N/A,N/A
47,1.224,2.35e-05,0.8034188034188035,47,N/A,N/A
48,1.1593,2.4e-05,0.8205128205128205,48,N/A,N/A
49,1.3171,2.45e-05,0.8376068376068376,49,N/A,N/A
50,1.4358,2.5e-05,0.8547008547008547,50,N/A,N/A
51,0.8842,2.5500000000000003e-05,0.8717948717948718,51,N/A,N/A
52,1.1202,2.6000000000000002e-05,0.8888888888888888,52,N/A,N/A
53,1.1643,2.6500000000000004e-05,0.905982905982906,53,N/A,N/A
54,1.1202,2.7000000000000002e-05,0.9230769230769231,54,N/A,N/A
55,1.4386,2.7500000000000004e-05,0.9401709401709402,55,N/A,N/A
56,1.3791,2.8000000000000003e-05,0.9572649572649573,56,N/A,N/A
57,1.1179,2.8499999999999998e-05,0.9743589743589743,57,N/A,N/A
58,1.5185,2.9e-05,0.9914529914529915,58,N/A,N/A
59,0.4331,2.95e-05,1.0,59,N/A,N/A
60,1.2477,3e-05,1.017094017094017,60,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.5522388059701493,0.5945402298850574
61,1.0345,3.05e-05,1.0341880341880343,61,N/A,N/A
62,1.1205,3.1e-05,1.0512820512820513,62,N/A,N/A
63,1.2645,3.15e-05,1.0683760683760684,63,N/A,N/A
64,1.3863,3.2000000000000005e-05,1.0854700854700854,64,N/A,N/A
65,1.0911,3.2500000000000004e-05,1.1025641025641026,65,N/A,N/A
66,1.1534,3.3e-05,1.1196581196581197,66,N/A,N/A
67,0.9334,3.35e-05,1.1367521367521367,67,N/A,N/A
68,1.0855,3.4000000000000007e-05,1.1538461538461537,68,N/A,N/A
69,0.9277,3.45e-05,1.170940170940171,69,N/A,N/A
70,0.9856,3.5e-05,1.188034188034188,70,N/A,N/A
71,1.0069,3.55e-05,1.205128205128205,71,N/A,N/A
72,0.8315,3.6e-05,1.2222222222222223,72,N/A,N/A
73,1.0016,3.65e-05,1.2393162393162394,73,N/A,N/A
74,1.04,3.7e-05,1.2564102564102564,74,N/A,N/A
75,0.9068,3.7500000000000003e-05,1.2735042735042734,75,N/A,N/A
76,0.6825,3.8e-05,1.2905982905982907,76,N/A,N/A
77,0.5664,3.85e-05,1.3076923076923077,77,N/A,N/A
78,0.5303,3.9000000000000006e-05,1.3247863247863247,78,N/A,N/A
79,0.6711,3.9500000000000005e-05,1.341880341880342,79,N/A,N/A
80,0.7008,4e-05,1.358974358974359,80,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.8805970149253731,0.8995402298850574
81,0.7183,4.05e-05,1.376068376068376,81,N/A,N/A
82,0.2928,4.1e-05,1.393162393162393,82,N/A,N/A
83,0.3338,4.15e-05,1.4102564102564101,83,N/A,N/A
84,0.2628,4.2e-05,1.4273504273504274,84,N/A,N/A
85,0.2911,4.25e-05,1.4444444444444444,85,N/A,N/A
86,0.3254,4.3e-05,1.4615384615384617,86,N/A,N/A
