Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
1,4.6793,5.000000000000001e-07,0.017094017094017096,1,N/A,N/A
2,3.8668,1.0000000000000002e-06,0.03418803418803419,2,N/A,N/A
3,5.7609,1.5e-06,0.05128205128205128,3,N/A,N/A
4,6.9291,2.0000000000000003e-06,0.06837606837606838,4,N/A,N/A
5,6.9699,2.5e-06,0.08547008547008547,5,N/A,N/A
6,5.3902,3e-06,0.10256410256410256,6,N/A,N/A
7,3.8388,3.5000000000000004e-06,0.11965811965811966,7,N/A,N/A
8,4.2271,4.000000000000001e-06,0.13675213675213677,8,N/A,N/A
9,4.9001,4.5e-06,0.15384615384615385,9,N/A,N/A
10,5.2588,5e-06,0.17094017094017094,10,N/A,N/A
11,3.2033,5.500000000000001e-06,0.18803418803418803,11,N/A,N/A
12,4.8571,6e-06,0.20512820512820512,12,N/A,N/A
13,4.4437,6.5000000000000004e-06,0.2222222222222222,13,N/A,N/A
14,3.2618,7.000000000000001e-06,0.23931623931623933,14,N/A,N/A
15,3.8541,7.5e-06,0.2564102564102564,15,N/A,N/A
16,4.3904,8.000000000000001e-06,0.27350427350427353,16,N/A,N/A
17,2.5429,8.500000000000002e-06,0.2905982905982906,17,N/A,N/A
18,4.2577,9e-06,0.3076923076923077,18,N/A,N/A
19,2.5239,9.5e-06,0.3247863247863248,19,N/A,N/A
20,3.7209,1e-05,0.3418803418803419,20,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.2537313432835821,0.10476190476190475
21,4.11,1.05e-05,0.358974358974359,21,N/A,N/A
22,2.7095,1.1000000000000001e-05,0.37606837606837606,22,N/A,N/A
23,2.3719,1.1500000000000002e-05,0.39316239316239315,23,N/A,N/A
24,2.1637,1.2e-05,0.41025641025641024,24,N/A,N/A
25,3.4661,1.25e-05,0.42735042735042733,25,N/A,N/A
26,2.0524,1.3000000000000001e-05,0.4444444444444444,26,N/A,N/A
27,3.769,1.3500000000000001e-05,0.46153846153846156,27,N/A,N/A
28,1.9663,1.4000000000000001e-05,0.47863247863247865,28,N/A,N/A
29,1.9402,1.45e-05,0.49572649572649574,29,N/A,N/A
30,1.9477,1.5e-05,0.5128205128205128,30,N/A,N/A
31,2.3112,1.55e-05,0.5299145299145299,31,N/A,N/A
32,2.4597,1.6000000000000003e-05,0.5470085470085471,32,N/A,N/A
33,2.2263,1.65e-05,0.5641025641025641,33,N/A,N/A
34,3.0802,1.7000000000000003e-05,0.5811965811965812,34,N/A,N/A
35,2.2605,1.75e-05,0.5982905982905983,35,N/A,N/A
36,1.2969,1.8e-05,0.6153846153846154,36,N/A,N/A
37,1.5278,1.85e-05,0.6324786324786325,37,N/A,N/A
38,1.1825,1.9e-05,0.6495726495726496,38,N/A,N/A
39,1.6998,1.9500000000000003e-05,0.6666666666666666,39,N/A,N/A
40,2.1275,2e-05,0.6837606837606838,40,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.40298507462686567,0.34535878181059654
41,1.4422,2.05e-05,0.7008547008547008,41,N/A,N/A
42,1.1921,2.1e-05,0.717948717948718,42,N/A,N/A
43,1.3395,2.15e-05,0.7350427350427351,43,N/A,N/A
44,2.0516,2.2000000000000003e-05,0.7521367521367521,44,N/A,N/A
45,1.6208,2.25e-05,0.7692307692307693,45,N/A,N/A
46,1.8439,2.3000000000000003e-05,0.7863247863247863,46,N/A,N/A
47,1.1395,2.35e-05,0.8034188034188035,47,N/A,N/A
48,0.9841,2.4e-05,0.8205128205128205,48,N/A,N/A
49,1.2087,2.45e-05,0.8376068376068376,49,N/A,N/A
50,2.132,2.5e-05,0.8547008547008547,50,N/A,N/A
51,1.5419,2.5500000000000003e-05,0.8717948717948718,51,N/A,N/A
52,1.5518,2.6000000000000002e-05,0.8888888888888888,52,N/A,N/A
53,1.1296,2.6500000000000004e-05,0.905982905982906,53,N/A,N/A
54,1.1036,2.7000000000000002e-05,0.9230769230769231,54,N/A,N/A
55,1.4404,2.7500000000000004e-05,0.9401709401709402,55,N/A,N/A
56,1.1845,2.8000000000000003e-05,0.9572649572649573,56,N/A,N/A
57,1.0815,2.8499999999999998e-05,0.9743589743589743,57,N/A,N/A
58,1.2504,2.9e-05,0.9914529914529915,58,N/A,N/A
59,0.3807,2.95e-05,1.0,59,N/A,N/A
60,1.3559,3e-05,1.017094017094017,60,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.664179104477612,0.7238095238095238
61,1.1593,3.05e-05,1.0341880341880343,61,N/A,N/A
62,1.1757,3.1e-05,1.0512820512820513,62,N/A,N/A
63,1.0072,3.15e-05,1.0683760683760684,63,N/A,N/A
64,1.2305,3.2000000000000005e-05,1.0854700854700854,64,N/A,N/A
65,0.922,3.2500000000000004e-05,1.1025641025641026,65,N/A,N/A
66,0.8482,3.3e-05,1.1196581196581197,66,N/A,N/A
67,0.5719,3.35e-05,1.1367521367521367,67,N/A,N/A
68,0.9392,3.4000000000000007e-05,1.1538461538461537,68,N/A,N/A
69,0.8101,3.45e-05,1.170940170940171,69,N/A,N/A
70,0.5083,3.5e-05,1.188034188034188,70,N/A,N/A
71,0.6143,3.55e-05,1.205128205128205,71,N/A,N/A
72,0.5992,3.6e-05,1.2222222222222223,72,N/A,N/A
73,0.6966,3.65e-05,1.2393162393162394,73,N/A,N/A
74,0.6002,3.7e-05,1.2564102564102564,74,N/A,N/A
75,0.6404,3.7500000000000003e-05,1.2735042735042734,75,N/A,N/A
76,0.4881,3.8e-05,1.2905982905982907,76,N/A,N/A
77,0.3932,3.85e-05,1.3076923076923077,77,N/A,N/A
78,0.7578,3.9000000000000006e-05,1.3247863247863247,78,N/A,N/A
79,0.2112,3.9500000000000005e-05,1.341880341880342,79,N/A,N/A
80,0.2478,4e-05,1.358974358974359,80,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9328358208955224,0.9450035348179568
81,0.3495,4.05e-05,1.376068376068376,81,N/A,N/A
82,0.1958,4.1e-05,1.393162393162393,82,N/A,N/A
83,0.2103,4.15e-05,1.4102564102564101,83,N/A,N/A
84,0.1402,4.2e-05,1.4273504273504274,84,N/A,N/A
