Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
1,6.3294,5.000000000000001e-07,0.017094017094017096,1,N/A,N/A
2,6.2674,1.0000000000000002e-06,0.03418803418803419,2,N/A,N/A
3,6.5684,1.5e-06,0.05128205128205128,3,N/A,N/A
4,6.8484,2.0000000000000003e-06,0.06837606837606838,4,N/A,N/A
5,5.8877,2.5e-06,0.08547008547008547,5,N/A,N/A
6,6.932,3e-06,0.10256410256410256,6,N/A,N/A
7,6.1438,3.5000000000000004e-06,0.11965811965811966,7,N/A,N/A
8,5.9342,4.000000000000001e-06,0.13675213675213677,8,N/A,N/A
9,6.2805,4.5e-06,0.15384615384615385,9,N/A,N/A
10,6.5163,5e-06,0.17094017094017094,10,N/A,N/A
11,6.3241,5.500000000000001e-06,0.18803418803418803,11,N/A,N/A
12,6.1113,6e-06,0.20512820512820512,12,N/A,N/A
13,5.587,6.5000000000000004e-06,0.2222222222222222,13,N/A,N/A
14,6.1411,7.000000000000001e-06,0.23931623931623933,14,N/A,N/A
15,5.4169,7.5e-06,0.2564102564102564,15,N/A,N/A
16,5.5705,8.000000000000001e-06,0.27350427350427353,16,N/A,N/A
17,4.6961,8.500000000000002e-06,0.2905982905982906,17,N/A,N/A
18,5.8272,9e-06,0.3076923076923077,18,N/A,N/A
19,4.7509,9.5e-06,0.3247863247863248,19,N/A,N/A
20,4.8097,1e-05,0.3418803418803419,20,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.6940298507462687,0.6068387096774194
21,5.0037,1.05e-05,0.358974358974359,21,N/A,N/A
22,4.358,1.1000000000000001e-05,0.37606837606837606,22,N/A,N/A
23,4.5128,1.1500000000000002e-05,0.39316239316239315,23,N/A,N/A
24,4.5461,1.2e-05,0.41025641025641024,24,N/A,N/A
25,5.2787,1.25e-05,0.42735042735042733,25,N/A,N/A
26,4.1756,1.3000000000000001e-05,0.4444444444444444,26,N/A,N/A
27,3.6981,1.3500000000000001e-05,0.46153846153846156,27,N/A,N/A
