Step,Loss,Learning Rate,Epoch,Global Step,eval_accuracy
1,7.1109,5.000000000000001e-07,0.017094017094017096,1,N/A
2,6.6399,1.0000000000000002e-06,0.03418803418803419,2,N/A
3,6.3738,1.5e-06,0.05128205128205128,3,N/A
4,5.7631,2.0000000000000003e-06,0.06837606837606838,4,N/A
5,6.0262,2.5e-06,0.08547008547008547,5,N/A
6,5.7011,3e-06,0.10256410256410256,6,N/A
7,6.5253,3.5000000000000004e-06,0.11965811965811966,7,N/A
8,6.5314,4.000000000000001e-06,0.13675213675213677,8,N/A
9,5.9576,4.5e-06,0.15384615384615385,9,N/A
10,6.1064,5e-06,0.17094017094017094,10,N/A
11,5.8093,5.500000000000001e-06,0.18803418803418803,11,N/A
12,5.9465,6e-06,0.20512820512820512,12,N/A
13,5.3778,6.5000000000000004e-06,0.2222222222222222,13,N/A
14,5.1122,7.000000000000001e-06,0.23931623931623933,14,N/A
15,5.0921,7.5e-06,0.2564102564102564,15,N/A
16,5.3865,8.000000000000001e-06,0.27350427350427353,16,N/A
17,4.2902,8.500000000000002e-06,0.2905982905982906,17,N/A
18,5.3429,9e-06,0.3076923076923077,18,N/A
19,4.3379,9.5e-06,0.3247863247863248,19,N/A
20,4.2301,1e-05,0.3418803418803419,20,N/A
N/A,N/A,N/A,N/A,N/A,0.7761194029850746
21,4.4289,1.05e-05,0.358974358974359,21,N/A
22,4.391,1.1000000000000001e-05,0.37606837606837606,22,N/A
23,3.9395,1.1500000000000002e-05,0.39316239316239315,23,N/A
24,4.0685,1.2e-05,0.41025641025641024,24,N/A
25,4.8223,1.25e-05,0.42735042735042733,25,N/A
26,3.8879,1.3000000000000001e-05,0.4444444444444444,26,N/A
27,3.6091,1.3500000000000001e-05,0.46153846153846156,27,N/A
28,2.7025,1.4000000000000001e-05,0.47863247863247865,28,N/A
29,3.0225,1.45e-05,0.49572649572649574,29,N/A
30,2.1808,1.5e-05,0.5128205128205128,30,N/A
31,3.3886,1.55e-05,0.5299145299145299,31,N/A
32,2.4398,1.6000000000000003e-05,0.5470085470085471,32,N/A
33,2.857,1.65e-05,0.5641025641025641,33,N/A
34,1.9423,1.7000000000000003e-05,0.5811965811965812,34,N/A
35,2.5727,1.75e-05,0.5982905982905983,35,N/A
36,1.5759,1.8e-05,0.6153846153846154,36,N/A
37,1.6827,1.85e-05,0.6324786324786325,37,N/A
38,1.3472,1.9e-05,0.6495726495726496,38,N/A
39,1.9345,1.9500000000000003e-05,0.6666666666666666,39,N/A
40,1.3464,2e-05,0.6837606837606838,40,N/A
N/A,N/A,N/A,N/A,N/A,0.9626865671641791
41,1.6085,2.05e-05,0.7008547008547008,41,N/A
42,1.1605,2.1e-05,0.717948717948718,42,N/A
43,0.9055,2.15e-05,0.7350427350427351,43,N/A
44,1.0183,2.2000000000000003e-05,0.7521367521367521,44,N/A
45,1.3185,2.25e-05,0.7692307692307693,45,N/A
46,1.0321,2.3000000000000003e-05,0.7863247863247863,46,N/A
47,0.4758,2.35e-05,0.8034188034188035,47,N/A
48,1.0139,2.4e-05,0.8205128205128205,48,N/A
49,0.6267,2.45e-05,0.8376068376068376,49,N/A
50,0.8122,2.5e-05,0.8547008547008547,50,N/A
51,0.6495,2.5500000000000003e-05,0.8717948717948718,51,N/A
52,0.541,2.6000000000000002e-05,0.8888888888888888,52,N/A
53,0.4895,2.6500000000000004e-05,0.905982905982906,53,N/A
54,0.5735,2.7000000000000002e-05,0.9230769230769231,54,N/A
55,0.8658,2.7500000000000004e-05,0.9401709401709402,55,N/A
56,2.2771,2.8000000000000003e-05,0.9572649572649573,56,N/A
57,0.3479,2.8499999999999998e-05,0.9743589743589743,57,N/A
58,0.6932,2.9e-05,0.9914529914529915,58,N/A
59,0.2012,2.95e-05,1.0,59,N/A
60,0.2602,3e-05,1.017094017094017,60,N/A
N/A,N/A,N/A,N/A,N/A,0.9925373134328358
61,0.2675,3.05e-05,1.0341880341880343,61,N/A
62,1.2696,3.1e-05,1.0512820512820513,62,N/A
63,0.1323,3.15e-05,1.0683760683760684,63,N/A
64,0.3966,3.2000000000000005e-05,1.0854700854700854,64,N/A
65,0.6659,3.2500000000000004e-05,1.1025641025641026,65,N/A
66,0.2098,3.3e-05,1.1196581196581197,66,N/A
67,0.2656,3.35e-05,1.1367521367521367,67,N/A
68,0.3315,3.4000000000000007e-05,1.1538461538461537,68,N/A
69,0.1468,3.45e-05,1.170940170940171,69,N/A
70,0.9773,3.5e-05,1.188034188034188,70,N/A
71,0.2467,3.55e-05,1.205128205128205,71,N/A
72,0.166,3.6e-05,1.2222222222222223,72,N/A
73,0.1177,3.65e-05,1.2393162393162394,73,N/A
74,0.1363,3.7e-05,1.2564102564102564,74,N/A
75,0.2809,3.7500000000000003e-05,1.2735042735042734,75,N/A
76,0.0732,3.8e-05,1.2905982905982907,76,N/A
77,0.0829,3.85e-05,1.3076923076923077,77,N/A
78,0.1006,3.9000000000000006e-05,1.3247863247863247,78,N/A
79,0.0915,3.9500000000000005e-05,1.341880341880342,79,N/A
80,0.0756,4e-05,1.358974358974359,80,N/A
N/A,N/A,N/A,N/A,N/A,1.0
81,0.1589,4.05e-05,1.376068376068376,81,N/A
82,0.0513,4.1e-05,1.393162393162393,82,N/A
83,0.0919,4.15e-05,1.4102564102564101,83,N/A
84,0.0719,4.2e-05,1.4273504273504274,84,N/A
85,0.9994,4.25e-05,1.4444444444444444,85,N/A
86,0.0757,4.3e-05,1.4615384615384617,86,N/A
87,0.0819,4.35e-05,1.4786324786324787,87,N/A
88,0.0584,4.4000000000000006e-05,1.4957264957264957,88,N/A
89,0.0441,4.4500000000000004e-05,1.5128205128205128,89,N/A
90,0.0386,4.5e-05,1.5299145299145298,90,N/A
91,2.0339,4.55e-05,1.547008547008547,91,N/A
92,0.3443,4.600000000000001e-05,1.564102564102564,92,N/A
93,0.0518,4.6500000000000005e-05,1.5811965811965814,93,N/A
