Step,Loss,Learning Rate,Epoch,Global Step,eval_accuracy
1,2.0845,5.000000000000001e-07,0.017094017094017096,1,N/A
2,2.6556,1.0000000000000002e-06,0.03418803418803419,2,N/A
3,2.6449,1.5e-06,0.05128205128205128,3,N/A
4,1.9227,2.0000000000000003e-06,0.06837606837606838,4,N/A
5,1.7189,2.5e-06,0.08547008547008547,5,N/A
6,2.8984,3e-06,0.10256410256410256,6,N/A
7,2.2008,3.5000000000000004e-06,0.11965811965811966,7,N/A
8,2.3452,4.000000000000001e-06,0.13675213675213677,8,N/A
9,2.3541,4.5e-06,0.15384615384615385,9,N/A
10,2.8956,5e-06,0.17094017094017094,10,N/A
11,1.947,5.500000000000001e-06,0.18803418803418803,11,N/A
12,1.9939,6e-06,0.20512820512820512,12,N/A
13,1.7416,6.5000000000000004e-06,0.2222222222222222,13,N/A
14,2.0895,7.000000000000001e-06,0.23931623931623933,14,N/A
15,2.4366,7.5e-06,0.2564102564102564,15,N/A
16,1.6631,8.000000000000001e-06,0.27350427350427353,16,N/A
17,2.1189,8.500000000000002e-06,0.2905982905982906,17,N/A
18,1.5594,9e-06,0.3076923076923077,18,N/A
19,1.7355,9.5e-06,0.3247863247863248,19,N/A
20,2.5141,1e-05,0.3418803418803419,20,N/A
N/A,N/A,N/A,N/A,N/A,0.3880597014925373
21,2.2262,1.05e-05,0.358974358974359,21,N/A
22,1.3105,1.1000000000000001e-05,0.37606837606837606,22,N/A
23,1.5888,1.1500000000000002e-05,0.39316239316239315,23,N/A
24,1.3133,1.2e-05,0.41025641025641024,24,N/A
25,1.7622,1.25e-05,0.42735042735042733,25,N/A
26,1.4223,1.3000000000000001e-05,0.4444444444444444,26,N/A
27,1.7869,1.3500000000000001e-05,0.46153846153846156,27,N/A
28,1.5545,1.4000000000000001e-05,0.47863247863247865,28,N/A
29,1.695,1.45e-05,0.49572649572649574,29,N/A
30,1.5547,1.5e-05,0.5128205128205128,30,N/A
31,1.3156,1.55e-05,0.5299145299145299,31,N/A
32,1.5503,1.6000000000000003e-05,0.5470085470085471,32,N/A
33,1.3719,1.65e-05,0.5641025641025641,33,N/A
34,1.598,1.7000000000000003e-05,0.5811965811965812,34,N/A
35,1.3692,1.75e-05,0.5982905982905983,35,N/A
36,1.2174,1.8e-05,0.6153846153846154,36,N/A
37,1.5981,1.85e-05,0.6324786324786325,37,N/A
38,1.3428,1.9e-05,0.6495726495726496,38,N/A
39,1.2979,1.9500000000000003e-05,0.6666666666666666,39,N/A
40,1.6412,2e-05,0.6837606837606838,40,N/A
N/A,N/A,N/A,N/A,N/A,0.291044776119403
41,1.1329,2.05e-05,0.7008547008547008,41,N/A
42,1.2498,2.1e-05,0.717948717948718,42,N/A
43,1.4032,2.15e-05,0.7350427350427351,43,N/A
44,1.3587,2.2000000000000003e-05,0.7521367521367521,44,N/A
45,1.3257,2.25e-05,0.7692307692307693,45,N/A
46,1.1925,2.3000000000000003e-05,0.7863247863247863,46,N/A
47,1.1452,2.35e-05,0.8034188034188035,47,N/A
48,1.184,2.4e-05,0.8205128205128205,48,N/A
49,1.1256,2.45e-05,0.8376068376068376,49,N/A
50,1.4103,2.5e-05,0.8547008547008547,50,N/A
51,1.3575,2.5500000000000003e-05,0.8717948717948718,51,N/A
52,0.9003,2.6000000000000002e-05,0.8888888888888888,52,N/A
53,1.1164,2.6500000000000004e-05,0.905982905982906,53,N/A
54,1.036,2.7000000000000002e-05,0.9230769230769231,54,N/A
55,0.9151,2.7500000000000004e-05,0.9401709401709402,55,N/A
56,0.8938,2.8000000000000003e-05,0.9572649572649573,56,N/A
57,1.0277,2.8499999999999998e-05,0.9743589743589743,57,N/A
58,0.9173,2.9e-05,0.9914529914529915,58,N/A
59,0.3899,2.95e-05,1.0,59,N/A
60,1.0723,3e-05,1.017094017094017,60,N/A
N/A,N/A,N/A,N/A,N/A,0.8283582089552238
61,0.8836,3.05e-05,1.0341880341880343,61,N/A
62,0.6056,3.1e-05,1.0512820512820513,62,N/A
63,0.6484,3.15e-05,1.0683760683760684,63,N/A
64,0.5055,3.2000000000000005e-05,1.0854700854700854,64,N/A
65,0.863,3.2500000000000004e-05,1.1025641025641026,65,N/A
66,0.5649,3.3e-05,1.1196581196581197,66,N/A
67,0.4803,3.35e-05,1.1367521367521367,67,N/A
68,0.4827,3.4000000000000007e-05,1.1538461538461537,68,N/A
69,0.9479,3.45e-05,1.170940170940171,69,N/A
70,0.7769,3.5e-05,1.188034188034188,70,N/A
71,0.898,3.55e-05,1.205128205128205,71,N/A
72,0.6518,3.6e-05,1.2222222222222223,72,N/A
73,0.3584,3.65e-05,1.2393162393162394,73,N/A
74,0.3321,3.7e-05,1.2564102564102564,74,N/A
75,0.5575,3.7500000000000003e-05,1.2735042735042734,75,N/A
76,0.4215,3.8e-05,1.2905982905982907,76,N/A
77,0.4414,3.85e-05,1.3076923076923077,77,N/A
78,0.5338,3.9000000000000006e-05,1.3247863247863247,78,N/A
79,0.2725,3.9500000000000005e-05,1.341880341880342,79,N/A
80,0.4938,4e-05,1.358974358974359,80,N/A
N/A,N/A,N/A,N/A,N/A,0.9701492537313433
81,0.7223,4.05e-05,1.376068376068376,81,N/A
82,0.2867,4.1e-05,1.393162393162393,82,N/A
83,0.1932,4.15e-05,1.4102564102564101,83,N/A
84,0.1602,4.2e-05,1.4273504273504274,84,N/A
85,0.2621,4.25e-05,1.4444444444444444,85,N/A
86,0.4206,4.3e-05,1.4615384615384617,86,N/A
87,0.2453,4.35e-05,1.4786324786324787,87,N/A
88,0.3941,4.4000000000000006e-05,1.4957264957264957,88,N/A
89,0.1397,4.4500000000000004e-05,1.5128205128205128,89,N/A
90,0.2302,4.5e-05,1.5299145299145298,90,N/A
91,0.3414,4.55e-05,1.547008547008547,91,N/A
92,0.132,4.600000000000001e-05,1.564102564102564,92,N/A
93,0.6523,4.6500000000000005e-05,1.5811965811965814,93,N/A
94,0.0708,4.7e-05,1.5982905982905984,94,N/A
95,0.3073,4.75e-05,1.6153846153846154,95,N/A
96,0.1052,4.8e-05,1.6324786324786325,96,N/A
97,0.3078,4.85e-05,1.6495726495726495,97,N/A
98,0.0391,4.9e-05,1.6666666666666665,98,N/A
99,0.3839,4.9500000000000004e-05,1.6837606837606838,99,N/A
100,0.0518,5e-05,1.7008547008547008,100,N/A
N/A,N/A,N/A,N/A,N/A,0.9776119402985075
101,0.1147,5.05e-05,1.717948717948718,101,N/A
102,0.179,5.1000000000000006e-05,1.735042735042735,102,N/A
103,0.63,5.1500000000000005e-05,1.7521367521367521,103,N/A
