Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
1,1.551,5.000000000000001e-07,0.017094017094017096,1,N/A,N/A
2,1.6806,1.0000000000000002e-06,0.03418803418803419,2,N/A,N/A
3,1.9007,1.5e-06,0.05128205128205128,3,N/A,N/A
4,2.0797,2.0000000000000003e-06,0.06837606837606838,4,N/A,N/A
5,2.2567,2.5e-06,0.08547008547008547,5,N/A,N/A
6,1.7645,3e-06,0.10256410256410256,6,N/A,N/A
7,2.1017,3.5000000000000004e-06,0.11965811965811966,7,N/A,N/A
8,1.7972,4.000000000000001e-06,0.13675213675213677,8,N/A,N/A
9,2.113,4.5e-06,0.15384615384615385,9,N/A,N/A
10,1.681,5e-06,0.17094017094017094,10,N/A,N/A
