Step,Loss,Learning Rate,Epoch,Global Step
1,1.9059,5.000000000000001e-07,0.017094017094017096,1
2,4.0869,1.0000000000000002e-06,0.03418803418803419,2
3,3.255,1.5e-06,0.05128205128205128,3
4,3.7202,2.0000000000000003e-06,0.06837606837606838,4
5,3.0658,2.5e-06,0.08547008547008547,5
6,4.0205,3e-06,0.10256410256410256,6
7,2.8032,3.5000000000000004e-06,0.11965811965811966,7
8,2.3844,4.000000000000001e-06,0.13675213675213677,8
9,3.3854,4.5e-06,0.15384615384615385,9
10,3.5746,5e-06,0.17094017094017094,10
11,2.8478,5.500000000000001e-06,0.18803418803418803,11
12,3.6333,6e-06,0.20512820512820512,12
13,2.9102,6.5000000000000004e-06,0.2222222222222222,13
14,2.6546,7.000000000000001e-06,0.23931623931623933,14
15,3.118,7.5e-06,0.2564102564102564,15
16,3.4285,8.000000000000001e-06,0.27350427350427353,16
17,2.2306,8.500000000000002e-06,0.2905982905982906,17
18,3.3322,9e-06,0.3076923076923077,18
19,2.6547,9.5e-06,0.3247863247863248,19
20,2.3658,1e-05,0.3418803418803419,20
21,2.8139,1.05e-05,0.358974358974359,21
22,2.8274,1.1000000000000001e-05,0.37606837606837606,22
23,2.2325,1.1500000000000002e-05,0.39316239316239315,23
24,2.7888,1.2e-05,0.41025641025641024,24
25,2.2265,1.25e-05,0.42735042735042733,25
26,2.7127,1.3000000000000001e-05,0.4444444444444444,26
27,2.3697,1.3500000000000001e-05,0.46153846153846156,27
28,1.9878,1.4000000000000001e-05,0.47863247863247865,28
29,1.8764,1.45e-05,0.49572649572649574,29
30,2.1364,1.5e-05,0.5128205128205128,30
31,2.5491,1.55e-05,0.5299145299145299,31
32,2.0084,1.6000000000000003e-05,0.5470085470085471,32
33,1.7966,1.65e-05,0.5641025641025641,33
34,2.1214,1.7000000000000003e-05,0.5811965811965812,34
35,1.7525,1.75e-05,0.5982905982905983,35
36,2.0704,1.8e-05,0.6153846153846154,36
37,1.7531,1.85e-05,0.6324786324786325,37
38,1.5831,1.9e-05,0.6495726495726496,38
39,1.7008,1.9500000000000003e-05,0.6666666666666666,39
40,1.5552,2e-05,0.6837606837606838,40
41,1.5497,2.05e-05,0.7008547008547008,41
42,1.5081,2.1e-05,0.717948717948718,42
43,1.432,2.15e-05,0.7350427350427351,43
44,1.4878,2.2000000000000003e-05,0.7521367521367521,44
45,1.7597,2.25e-05,0.7692307692307693,45
46,1.4749,2.3000000000000003e-05,0.7863247863247863,46
47,1.4841,2.35e-05,0.8034188034188035,47
48,1.3543,2.4e-05,0.8205128205128205,48
49,1.6106,2.45e-05,0.8376068376068376,49
50,1.6052,2.5e-05,0.8547008547008547,50
51,1.2648,2.5500000000000003e-05,0.8717948717948718,51
52,1.3321,2.6000000000000002e-05,0.8888888888888888,52
53,1.2876,2.6500000000000004e-05,0.905982905982906,53
54,1.4005,2.7000000000000002e-05,0.9230769230769231,54
55,1.294,2.7500000000000004e-05,0.9401709401709402,55
56,1.1888,2.8000000000000003e-05,0.9572649572649573,56
57,1.2089,2.8499999999999998e-05,0.9743589743589743,57
58,1.7237,2.9e-05,0.9914529914529915,58
59,0.5465,2.95e-05,1.0,59
60,1.1706,3e-05,1.017094017094017,60
61,1.3544,3.05e-05,1.0341880341880343,61
62,1.0887,3.1e-05,1.0512820512820513,62
63,0.9641,3.15e-05,1.0683760683760684,63
64,1.2786,3.2000000000000005e-05,1.0854700854700854,64
65,1.2504,3.2500000000000004e-05,1.1025641025641026,65
66,1.0544,3.3e-05,1.1196581196581197,66
67,1.0117,3.35e-05,1.1367521367521367,67
68,1.0305,3.4000000000000007e-05,1.1538461538461537,68
69,1.0656,3.45e-05,1.170940170940171,69
70,1.0487,3.5e-05,1.188034188034188,70
71,1.2135,3.55e-05,1.205128205128205,71
72,1.147,3.6e-05,1.2222222222222223,72
73,0.8005,3.65e-05,1.2393162393162394,73
74,0.736,3.7e-05,1.2564102564102564,74
75,0.7728,3.7500000000000003e-05,1.2735042735042734,75
76,0.7441,3.8e-05,1.2905982905982907,76
77,0.5173,3.85e-05,1.3076923076923077,77
78,0.989,3.9000000000000006e-05,1.3247863247863247,78
79,0.8149,3.9500000000000005e-05,1.341880341880342,79
80,0.668,4e-05,1.358974358974359,80
81,0.7115,4.05e-05,1.376068376068376,81
82,0.4796,4.1e-05,1.393162393162393,82
83,0.4018,4.15e-05,1.4102564102564101,83
84,0.5533,4.2e-05,1.4273504273504274,84
85,0.5289,4.25e-05,1.4444444444444444,85
86,0.5521,4.3e-05,1.4615384615384617,86
87,0.3353,4.35e-05,1.4786324786324787,87
88,0.7104,4.4000000000000006e-05,1.4957264957264957,88
89,0.634,4.4500000000000004e-05,1.5128205128205128,89
90,0.2696,4.5e-05,1.5299145299145298,90
91,0.4834,4.55e-05,1.547008547008547,91
92,0.59,4.600000000000001e-05,1.564102564102564,92
93,0.4213,4.6500000000000005e-05,1.5811965811965814,93
94,0.2574,4.7e-05,1.5982905982905984,94
95,0.4678,4.75e-05,1.6153846153846154,95
96,0.1707,4.8e-05,1.6324786324786325,96
97,0.239,4.85e-05,1.6495726495726495,97
98,0.258,4.9e-05,1.6666666666666665,98
99,0.7834,4.9500000000000004e-05,1.6837606837606838,99
100,0.0684,5e-05,1.7008547008547008,100
101,0.6295,5.05e-05,1.717948717948718,101
102,0.399,5.1000000000000006e-05,1.735042735042735,102
103,0.5671,5.1500000000000005e-05,1.7521367521367521,103
104,0.3894,5.2000000000000004e-05,1.7692307692307692,104
105,0.0849,5.25e-05,1.7863247863247862,105
106,0.1689,5.300000000000001e-05,1.8034188034188035,106
107,0.2417,5.3500000000000006e-05,1.8205128205128205,107
108,0.1711,5.4000000000000005e-05,1.8376068376068377,108
109,0.4558,5.45e-05,1.8547008547008548,109
110,0.2814,5.500000000000001e-05,1.8717948717948718,110
111,0.0858,5.550000000000001e-05,1.8888888888888888,111
112,0.129,5.6000000000000006e-05,1.9059829059829059,112
113,0.4964,5.65e-05,1.9230769230769231,113
114,0.4828,5.6999999999999996e-05,1.9401709401709402,114
115,0.1832,5.7499999999999995e-05,1.9572649572649574,115
116,0.1318,5.8e-05,1.9743589743589745,116
117,0.0461,5.85e-05,1.9914529914529915,117
118,0.1696,5.9e-05,2.0,118
119,0.1913,5.95e-05,2.017094017094017,119
120,0.3336,6e-05,2.034188034188034,120
121,0.1351,6.05e-05,2.051282051282051,121
122,0.1052,6.1e-05,2.0683760683760686,122
123,0.2797,6.15e-05,2.0854700854700856,123
124,0.1066,6.2e-05,2.1025641025641026,124
125,0.0719,6.25e-05,2.1196581196581197,125
126,0.0645,6.3e-05,2.1367521367521367,126
127,0.2074,6.35e-05,2.1538461538461537,127
128,0.08,6.400000000000001e-05,2.1709401709401708,128
129,0.0728,6.450000000000001e-05,2.1880341880341883,129
130,0.0799,6.500000000000001e-05,2.2051282051282053,130
131,0.1251,6.55e-05,2.2222222222222223,131
132,0.1347,6.6e-05,2.2393162393162394,132
133,0.3112,6.65e-05,2.2564102564102564,133
134,0.0379,6.7e-05,2.2735042735042734,134
135,0.2077,6.750000000000001e-05,2.2905982905982905,135
136,0.0222,6.800000000000001e-05,2.3076923076923075,136
137,0.3649,6.850000000000001e-05,2.324786324786325,137
138,0.0461,6.9e-05,2.341880341880342,138
139,0.0394,6.95e-05,2.358974358974359,139
140,0.1753,7e-05,2.376068376068376,140
141,0.0184,7.05e-05,2.393162393162393,141
142,0.2914,7.1e-05,2.41025641025641,142
143,0.4047,7.15e-05,2.427350427350427,143
144,0.0973,7.2e-05,2.4444444444444446,144
145,0.5337,7.25e-05,2.4615384615384617,145
146,0.0111,7.3e-05,2.4786324786324787,146
147,0.0107,7.35e-05,2.4957264957264957,147
148,0.0737,7.4e-05,2.5128205128205128,148
149,0.0136,7.450000000000001e-05,2.52991452991453,149
150,0.036,7.500000000000001e-05,2.547008547008547,150
151,0.3785,7.55e-05,2.564102564102564,151
152,0.1993,7.6e-05,2.5811965811965814,152
153,0.2466,7.65e-05,2.5982905982905984,153
154,0.0217,7.7e-05,2.6153846153846154,154
155,0.3779,7.75e-05,2.6324786324786325,155
156,0.2787,7.800000000000001e-05,2.6495726495726495,156
157,0.0715,7.850000000000001e-05,2.6666666666666665,157
158,0.0353,7.900000000000001e-05,2.683760683760684,158
159,0.0369,7.950000000000001e-05,2.700854700854701,159
160,0.3599,8e-05,2.717948717948718,160
161,0.1025,8.05e-05,2.735042735042735,161
162,0.37,8.1e-05,2.752136752136752,162
163,0.7735,8.15e-05,2.769230769230769,163
164,0.6205,8.2e-05,2.786324786324786,164
165,0.1165,8.25e-05,2.8034188034188032,165
166,0.084,8.3e-05,2.8205128205128203,166
167,0.152,8.35e-05,2.8376068376068377,167
168,0.028,8.4e-05,2.8547008547008548,168
169,0.0085,8.450000000000001e-05,2.871794871794872,169
170,0.0875,8.5e-05,2.888888888888889,170
171,0.0055,8.55e-05,2.905982905982906,171
172,0.0044,8.6e-05,2.9230769230769234,172
173,0.0016,8.65e-05,2.9401709401709404,173
174,0.4181,8.7e-05,2.9572649572649574,174
175,0.0083,8.75e-05,2.9743589743589745,175
176,0.175,8.800000000000001e-05,2.9914529914529915,176
177,0.0004,8.850000000000001e-05,3.0,177
178,0.0025,8.900000000000001e-05,3.017094017094017,178
