Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
1,1.8475,5.000000000000001e-07,0.017094017094017096,1,N/A,N/A
2,1.9246,1.0000000000000002e-06,0.03418803418803419,2,N/A,N/A
3,1.8653,1.5e-06,0.05128205128205128,3,N/A,N/A
4,1.6137,2.0000000000000003e-06,0.06837606837606838,4,N/A,N/A
5,1.8374,2.5e-06,0.08547008547008547,5,N/A,N/A
6,2.0299,3e-06,0.10256410256410256,6,N/A,N/A
7,1.8026,3.5000000000000004e-06,0.11965811965811966,7,N/A,N/A
8,1.77,4.000000000000001e-06,0.13675213675213677,8,N/A,N/A
9,1.6736,4.5e-06,0.15384615384615385,9,N/A,N/A
10,1.7442,5e-06,0.17094017094017094,10,N/A,N/A
11,1.6875,5.500000000000001e-06,0.18803418803418803,11,N/A,N/A
12,1.7292,6e-06,0.20512820512820512,12,N/A,N/A
13,1.5991,6.5000000000000004e-06,0.2222222222222222,13,N/A,N/A
14,1.6955,7.000000000000001e-06,0.23931623931623933,14,N/A,N/A
15,1.9315,7.5e-06,0.2564102564102564,15,N/A,N/A
16,1.7154,8.000000000000001e-06,0.27350427350427353,16,N/A,N/A
17,1.7399,8.500000000000002e-06,0.2905982905982906,17,N/A,N/A
18,1.5497,9e-06,0.3076923076923077,18,N/A,N/A
19,1.5631,9.5e-06,0.3247863247863248,19,N/A,N/A
20,1.5172,1e-05,0.3418803418803419,20,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.12686567164179105,0.14087179487179488
21,1.8243,1.05e-05,0.358974358974359,21,N/A,N/A
22,1.6313,1.1000000000000001e-05,0.37606837606837606,22,N/A,N/A
23,1.4899,1.1500000000000002e-05,0.39316239316239315,23,N/A,N/A
24,1.6429,1.2e-05,0.41025641025641024,24,N/A,N/A
25,1.673,1.25e-05,0.42735042735042733,25,N/A,N/A
26,1.6363,1.3000000000000001e-05,0.4444444444444444,26,N/A,N/A
27,1.4365,1.3500000000000001e-05,0.46153846153846156,27,N/A,N/A
28,1.5238,1.4000000000000001e-05,0.47863247863247865,28,N/A,N/A
29,1.5903,1.45e-05,0.49572649572649574,29,N/A,N/A
30,1.5866,1.5e-05,0.5128205128205128,30,N/A,N/A
31,1.5579,1.55e-05,0.5299145299145299,31,N/A,N/A
32,1.6369,1.6000000000000003e-05,0.5470085470085471,32,N/A,N/A
33,1.3374,1.65e-05,0.5641025641025641,33,N/A,N/A
34,1.721,1.7000000000000003e-05,0.5811965811965812,34,N/A,N/A
35,1.7487,1.75e-05,0.5982905982905983,35,N/A,N/A
36,1.6443,1.8e-05,0.6153846153846154,36,N/A,N/A
37,1.5026,1.85e-05,0.6324786324786325,37,N/A,N/A
38,1.4833,1.9e-05,0.6495726495726496,38,N/A,N/A
39,1.4977,1.9500000000000003e-05,0.6666666666666666,39,N/A,N/A
40,1.4752,2e-05,0.6837606837606838,40,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.5522388059701493,0.4404410380529784
41,1.4818,2.05e-05,0.7008547008547008,41,N/A,N/A
42,1.4945,2.1e-05,0.717948717948718,42,N/A,N/A
43,1.5038,2.15e-05,0.7350427350427351,43,N/A,N/A
44,1.3559,2.2000000000000003e-05,0.7521367521367521,44,N/A,N/A
45,1.2745,2.25e-05,0.7692307692307693,45,N/A,N/A
46,1.3966,2.3000000000000003e-05,0.7863247863247863,46,N/A,N/A
47,1.4125,2.35e-05,0.8034188034188035,47,N/A,N/A
48,1.3279,2.4e-05,0.8205128205128205,48,N/A,N/A
49,1.383,2.45e-05,0.8376068376068376,49,N/A,N/A
50,1.2489,2.5e-05,0.8547008547008547,50,N/A,N/A
51,1.3317,2.5500000000000003e-05,0.8717948717948718,51,N/A,N/A
52,1.0969,2.6000000000000002e-05,0.8888888888888888,52,N/A,N/A
53,1.4334,2.6500000000000004e-05,0.905982905982906,53,N/A,N/A
54,1.0562,2.7000000000000002e-05,0.9230769230769231,54,N/A,N/A
55,1.4223,2.7500000000000004e-05,0.9401709401709402,55,N/A,N/A
56,1.0919,2.8000000000000003e-05,0.9572649572649573,56,N/A,N/A
57,0.8708,2.8499999999999998e-05,0.9743589743589743,57,N/A,N/A
58,1.6094,2.9e-05,0.9914529914529915,58,N/A,N/A
59,0.3291,2.95e-05,1.0,59,N/A,N/A
60,0.9444,3e-05,1.017094017094017,60,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.7835820895522388,0.6440285071267817
61,0.9435,3.05e-05,1.0341880341880343,61,N/A,N/A
62,0.9305,3.1e-05,1.0512820512820513,62,N/A,N/A
63,0.4946,3.15e-05,1.0683760683760684,63,N/A,N/A
64,0.9335,3.2000000000000005e-05,1.0854700854700854,64,N/A,N/A
65,0.7024,3.2500000000000004e-05,1.1025641025641026,65,N/A,N/A
66,0.9181,3.3e-05,1.1196581196581197,66,N/A,N/A
67,0.5362,3.35e-05,1.1367521367521367,67,N/A,N/A
68,0.6822,3.4000000000000007e-05,1.1538461538461537,68,N/A,N/A
69,0.4945,3.45e-05,1.170940170940171,69,N/A,N/A
70,0.3965,3.5e-05,1.188034188034188,70,N/A,N/A
71,0.628,3.55e-05,1.205128205128205,71,N/A,N/A
72,0.3373,3.6e-05,1.2222222222222223,72,N/A,N/A
73,0.5331,3.65e-05,1.2393162393162394,73,N/A,N/A
74,0.5851,3.7e-05,1.2564102564102564,74,N/A,N/A
